place,Rating,Popularity,latitude,longitude,State
 Walk In Beauty,4.0,5.0,54.1126329,-3.2267609,England
 Punarjani Ayurveda,4.0,6.0,9.18122665,76.49696445244027,Kerala
 Adventure Buddha,4.0,5.0,27.6983635,85.328734,
 Raja Yoga & Meditation Centre,4.5,6.0,0.3400029,32.5862856,Central Region
 Higginbothams,5.0,2.0,12.99130465,80.23421801237959,Tamil Nadu
 O2 Spa,4.0,13.0,12.9706238,77.5990824,Karnataka
 Bangalore Wellness,5.0,2.0,12.9882933,77.5561065,Karnataka
 The Bull Ring Arena,4.5,4.0,12.98211665,77.63397719793734,Karnataka
 Timri,4.5,3.0,36.6727714,4.8116017,Béjaïa
 Body Raaga,4.5,4.0,12.970168,77.6382269,Karnataka
 S S Fish Spa,5.0,1.0,46.716375,38.2591409,Краснодарский край
 Museum of Art and Photography,5.0,1.0,12.974507,77.5968079106195,Karnataka
 Meer Spa,5.0,1.0,47.42053705,12.846784697813103,Salzburg
 Innovative Multiplex,3.5,12.0,12.9519766,77.6986262028681,Karnataka
 Rezwan Razack Museum of Indian Paper Money,5.0,1.0,12.9713364,77.61411,Karnataka
 Zero Eight Zero,5.0,1.0,48.1214926,11.5502063,Bayern
 The Sanctuary,5.0,1.0,35.9052435,-78.71079066379957,North Carolina
 O2 Spa,4.5,2.0,12.9706238,77.5990824,Karnataka
 Ikea,5.0,1.0,43.3267807,-2.9834414,Euskadi
 Asian Woman Spa,4.0,3.0,12.926081,77.6254085,Karnataka
 Soul Trends,4.5,2.0,-30.0344887,-51.2129936,Rio Grande do Sul
 Body & Mind,5.0,1.0,54.3293795,18.5661739,województwo pomorskie
 Care Spa & Massage,5.0,3.0,34.7541518,-86.7473208,Alabama
 The Haberdashery,4.5,3.0,51.5812025,-0.1235061,England
 House of Eka,4.5,3.0,52.2867543,-113.8100985,Alberta
 Manyavar,3.5,11.0,12.9825626,77.607495,Karnataka
 Shaakya Salon & Spa,5.0,1.0,13.0104176,77.6432121,Karnataka
 Clip 'n Climb,4.5,3.0,51.47796675,-0.18859775022909187,England
 Sudha Book House,5.0,1.0,12.9882162,77.5558598,Karnataka
 Angsana Spa,4.0,3.0,19.8867618,102.1312705,ຫລວງພະບາງ
 Malik,5.0,1.0,40.7086433,20.6996182,Shqipëria Jugore
 PaintBall X,3.5,8.0,-31.103051,-64.4821404,Córdoba
 Sutra,4.0,4.0,54.2609211,23.709936,Alytaus apskritis
 O2 Spa,4.5,3.0,12.9706238,77.5990824,Karnataka
 Handicrafts,4.5,8.0,44.26370885,-74.64225925,New York
 The Purple Turtles,3.5,9.0,12.9641916,77.6395453,Karnataka
 Riddle Room,4.5,2.0,59.3426312,18.0353695,
 Club Citrus,4.0,4.0,28.8135721,-82.2888668,Florida
 Chumbak,5.0,1.0,12.9781775,77.6422383,Karnataka
 Snakes & Ladders,5.0,1.0,49.6327464,-123.1999428,British Columbia
 Pure Salon & Spa,5.0,1.0,41.631185,-87.9326247,Illinois
 Wicked Ride,3.5,59.0,12.9169098,77.5826789,Karnataka
 Fuller Life Wellness World,4.0,2.0,13.0237536,77.6293847,Karnataka
 Pedal in Tandem,5.0,1.0,12.9725478,77.6402224,Karnataka
 a1000yoga,4.0,2.0,12.970143,77.6477134,Karnataka
 Vriddhi Jayanagar,4.0,2.0,12.9290557,77.5914755,Karnataka
 O2 Spa,4.0,2.0,12.9706238,77.5990824,Karnataka
 O2 Spa,3.5,3.0,12.9706238,77.5990824,Karnataka
 O2 Spa,4.0,2.0,12.9706238,77.5990824,Karnataka
 Footworks,4.0,2.0,52.52818685,-1.8409720890165489,England
 Vriddhi,4.0,2.0,12.9290557,77.5914755,Karnataka
